,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,flagnull
175,United Arab Emirates,ARE,EastAsia,20310.109,0.83600003,NaN,2.5,5.27984094619751,NaN,NaN,False
0,Afghanistan,AFG,WesternDem,1282.64,0.479,29.82500076293945,8.100000381469727,NaN,3.780280113220215,48.75032043457031,True
127,Norway,NOR,SouthAsia,57634.77,0.94800001,5.156000137329102,1.600000023841858,5.048264026641846,7.373290061950684,95.2019271850586,False
16,Bhutan,BTN,WesternDem,5639.02,0.60399997,0.765999972820282,6.800000190734863,4.033873081207275,5.924600124359131,62.83831024169922,False
151,Senegal,SEN,SouthEastAsia,1527.99,0.491,NaN,7.400000095367432,3.760167360305786,7.396200180053711,NaN,False
1,Albania,ALB,NorthAfrica,8516.7002,0.76200002,NaN,7.099999904632568,4.111338615417481,3.539439916610718,85.27821350097656,False
85,Japan,JPN,EastEurope,36123.77,0.90200001,127.120002746582,2.599999904632568,4.430102348327637,3.591840028762817,99.04267120361328,False
23,Brunei,BRN,LatAm,46103.84,0.86400002,0.4120000004768372,4.599999904632568,4.417221069335938,3.353189945220947,87.03231811523438,False
183,Egypt,EGY,EastAsia,5598.2598,0.68800002,86.69999694824219,4.699999809265137,2.187044858932495,NaN,81.85820770263672,False
22,Solomon Islands,SLB,Pacific,2113.0601,0.514,0.5619999766349792,6.300000190734863,NaN,NaN,NaN,True
129,Marshall Islands,MHL,Pacific,2833.97,NaN,0.0540000014007092,NaN,NaN,NaN,64.4613037109375,True
188,Uruguay,URY,SubSaharian,12804.84,0.79400003,3.453999996185303,4.400000095367432,2.903504610061646,4.356939792633057,76.34809875488281,False
40,Congo,COG,SouthEastAsia,2369.8401,0.58999997,NaN,6.800000190734863,NaN,NaN,NaN,True
144,Rwanda,RWA,SouthEastAsia,1440.39,0.493,10.19999980926514,7.5,4.037596225738525,3.797460079193115,27.23918914794922,False
4,Angola,AGO,SouthEastAsia,3771.2,0.53100002,25.78899955749512,6.0,2.134715557098389,NaN,NaN,False
58,Finland,FIN,SouthAsia,36958.211,0.89300001,5.427000045776367,2.299999952316284,5.859115123748779,7.168099880218506,94.00318145751952,False
178,Turkmenistan,TKM,NorthAfrica,13217.39,0.68800002,NaN,5.099999904632568,NaN,3.055900096893311,NaN,True
142,Romania,ROU,NorthAfrica,14563.14,0.79799998,19.95299911499023,4.5,3.833498477935791,3.129179954528809,83.92993927001953,False
