Garage_Cars,Year_Built,Gr_Liv_Area,Total_Bsmt_SF,First_Flr_SF,Wood_Deck_SF,Fireplaces,Lot_Area,Second_Flr_SF,Garage_Area
2,1996,1553,691,691,0,0,7875,862,420
1,1910,899,481,899,0,0,6756,0,200
3,1916,1344,624,624,0,0,4571,720,513
1,1968,890,890,890,0,0,8450,0,308
1,1941,2133,1528,1225,0,2,10452,908,312
1,1950,1328,768,768,0,0,6000,560,308
3,2003,2392,2392,2392,248,1,13472,0,968
2,2004,2084,956,956,0,0,10142,1128,618
1,1956,1024,1008,1024,0,2,10533,0,313
1,1963,1040,1040,1040,0,0,7500,0,308
0,1961,1800,1800,1800,0,0,8000,0,0
2,1963,1728,1728,1728,0,0,9100,0,504
2,2007,1456,728,728,100,1,9018,728,400
1,1962,864,864,864,0,0,7000,0,336
2,1998,1463,1463,1463,0,0,14753,0,539
3,2006,2172,1063,1071,192,1,14154,1101,947
1,1953,1210,0,1210,208,0,9533,0,616
3,2008,1766,1751,1766,216,2,11778,0,874
1,1954,1056,1056,1056,390,0,9250,0,260
2,1910,1760,1077,981,120,1,10818,779,648
2,1900,1445,676,831,0,0,14235,614,484
2,1954,894,894,894,0,0,9450,0,400
2,1920,1196,684,684,0,0,12354,512,528
1,1920,1738,715,1281,55,1,12513,457,368
3,2003,2200,2200,2200,208,1,15262,0,685
0,1962,1728,1728,1728,0,0,13260,0,0
1,1955,827,0,827,0,1,7200,0,392
2,2004,1948,847,847,100,1,12393,1101,434
3,2008,1254,1254,1254,168,0,10324,0,810
2,2004,848,848,848,140,0,4426,0,420
2,1992,1759,1449,944,150,1,16698,815,525
1,1961,1029,1029,1029,64,0,7943,0,261
1,1938,1374,884,932,64,0,9260,442,225
1,1925,995,960,995,0,0,6120,0,264
2,2008,1652,1600,1652,162,1,5587,0,482
3,2006,2550,1108,1148,120,1,13440,1402,670
2,1969,1336,1288,1336,312,1,9600,0,502
1,1970,1092,546,546,0,0,1533,546,286
2,2006,1394,384,754,100,0,9735,640,400
3,1995,2794,1462,1490,0,1,15138,1304,810
2,1968,2110,2110,2110,0,2,11160,0,522
1,1946,407,407,407,76,0,7311,0,297
2,1936,1466,796,1096,436,1,10800,370,566
2,1916,2134,844,1445,0,0,11888,689,441
3,2004,2473,1143,1143,192,1,9591,1330,852
1,1951,1480,1080,1080,0,1,11100,400,253
2,1977,1212,506,1212,292,1,8471,0,492
3,2008,1694,1694,1694,160,0,10475,0,776
1,1978,1152,1152,1152,0,0,10547,0,252
1,1947,1216,832,832,158,0,8480,384,336
3,2006,1634,1626,1634,0,1,11428,0,866
1,1967,1214,1214,1214,0,1,10355,0,318
1,1920,1513,939,939,24,0,6120,574,180
1,1977,1475,757,925,104,1,2665,550,336
3,1992,2225,1390,1402,198,1,11134,823,713
1,1973,1218,672,672,144,0,1890,546,264
2,1991,1217,1217,1217,0,0,7175,0,484
1,1960,958,958,958,0,0,12772,0,301
1,1963,1068,1059,1068,192,0,8414,0,264
1,1935,1242,583,647,329,1,5707,595,180
0,1920,1406,319,1035,0,0,7920,371,0
3,1998,2385,1066,1108,120,1,10790,1277,600
2,2004,2522,2208,2522,182,1,7296,0,564
2,2006,1250,625,625,0,0,4251,625,528
0,1975,864,864,864,0,0,9350,0,0
1,1972,864,864,864,0,1,15523,0,338
2,1972,1479,725,725,0,0,7472,754,484
0,1971,1218,672,672,201,0,1680,546,0
2,2003,1626,764,764,0,0,2628,862,474
2,1992,1575,1575,1575,0,0,8012,0,529
2,1959,1188,1188,1188,0,0,12160,0,531
1,1958,1524,874,874,0,0,11344,650,315
1,1945,1340,780,816,0,0,6430,524,440
1,1920,1344,672,672,0,0,10690,672,468
0,1938,1053,585,585,42,0,12180,468,0
2,2005,1090,1090,1090,0,0,7024,0,450
2,1976,1456,855,855,87,1,2280,601,440
2,2005,1142,1142,1142,90,0,3010,0,440
2,1975,1040,1040,1040,0,0,4224,0,499
2,2004,1500,1500,1500,192,0,8487,0,570
1,1953,1609,1000,1068,0,0,9525,541,305
2,1931,1774,952,1022,90,2,6120,752,468
2,1953,2259,1809,2259,166,2,21000,0,450
2,1977,1009,995,1009,0,1,9720,0,576
1,1938,1251,827,827,0,0,6900,424,240
2,1934,1176,816,816,112,1,6240,0,528
2,1964,1445,1127,1445,180,1,12095,0,645
1,1949,1523,1067,986,0,1,15600,537,295
2,1967,894,894,894,0,0,9764,0,450
2,1928,784,784,784,0,0,9000,0,360
2,1965,1264,1068,1264,0,1,15300,0,528
3,2008,1641,1641,1641,0,0,14463,0,885
1,1926,1316,644,672,0,1,8969,644,369
3,2003,2696,2846,2696,220,2,14300,0,958
2,1958,2279,585,2279,274,1,19958,0,461
1,1957,1788,1104,1104,120,2,11250,684,304
2,1965,1324,1088,1324,0,1,8658,0,440
2,1900,1627,797,830,192,0,9142,797,420
2,1954,1293,1178,1293,280,0,11027,0,452
2,2005,1844,1844,1844,165,1,10994,0,620
2,2005,1971,1113,1113,0,1,9675,858,689
1,1954,1172,1172,1172,240,0,9525,0,366
3,2003,2690,1765,1804,268,1,16451,886,795
1,1916,952,952,952,0,1,8854,0,192
1,1958,1215,1215,1215,0,0,12400,0,297
3,2006,1939,1095,1095,192,1,10728,844,1053
1,1994,990,990,990,66,0,9757,0,440
1,1906,1469,756,756,57,0,10320,713,216
2,1961,1144,1144,1144,0,0,7875,0,456
3,1925,2640,2171,1392,631,1,22136,1248,1008
3,2007,2574,1482,1482,0,1,9588,1092,868
